"county","tract","CountyName","pop20","afact"
"County code","Tract","County name","Total population (2020 Census)","tract-to-county allocation factor"
"01001","0201.00","Autauga AL",1775,1 
"01001","0202.00","Autauga AL",2055,1 
"01001","0203.00","Autauga AL",3216,1 
"01001","0204.00","Autauga AL",4246,1 
"01001","0205.01","Autauga AL",4322,1 
"01001","0205.02","Autauga AL",3284,1 
"01001","0205.03","Autauga AL",3616,1 
"01001","0206.00","Autauga AL",3729,1 
"01001","0207.00","Autauga AL",3409,1 
"01001","0208.01","Autauga AL",3143,1 
"01001","0208.03","Autauga AL",4635,1 
"01001","0208.04","Autauga AL",6064,1 
"01001","0208.05","Autauga AL",3122,1 
"01001","0209.01","Autauga AL",3268,1 
"01001","0209.02","Autauga AL",3091,1 
"01001","0210.00","Autauga AL",2645,1 
"01001","0211.00","Autauga AL",3185,1 
"01003","0101.00","Baldwin AL",3745,1 
"01003","0102.00","Baldwin AL",3000,1 
"01003","0103.00","Baldwin AL",8380,1 
"01003","0104.00","Baldwin AL",5722,1 
"01003","0105.00","Baldwin AL",4850,1 
"01003","0106.00","Baldwin AL",3234,1 
"01003","0107.04","Baldwin AL",5307,1 
"01003","0107.06","Baldwin AL",4038,1 
"01003","0107.07","Baldwin AL",4994,1 
"01003","0107.08","Baldwin AL",11585,1 
"01003","0107.09","Baldwin AL",11650,1 
"01003","0107.10","Baldwin AL",6156,1 
"01003","0107.11","Baldwin AL",4230,1 
"01003","0108.00","Baldwin AL",7807,1 
"01003","0109.03","Baldwin AL",6599,1 
"01003","0109.04","Baldwin AL",7747,1 
"01003","0109.06","Baldwin AL",4754,1 
"01003","0109.07","Baldwin AL",4081,1 
"01003","0109.08","Baldwin AL",5979,1 
"01003","0110.00","Baldwin AL",5459,1 
"01003","0111.02","Baldwin AL",5684,1 
"01003","0111.03","Baldwin AL",3523,1 
"01003","0111.04","Baldwin AL",7875,1 
"01003","0112.01","Baldwin AL",4895,1 
"01003","0112.02","Baldwin AL",6773,1 
"01003","0113.00","Baldwin AL",5170,1 
"01003","0114.09","Baldwin AL",5915,1 
"01003","0114.10","Baldwin AL",7483,1 
"01003","0114.11","Baldwin AL",5666,1 
"01003","0114.12","Baldwin AL",4041,1 
"01003","0114.13","Baldwin AL",3982,1 
"01003","0114.14","Baldwin AL",3461,1 
"01003","0114.15","Baldwin AL",2019,1 
"01003","0114.16","Baldwin AL",1714,1 
"01003","0114.17","Baldwin AL",2525,1 
"01003","0114.18","Baldwin AL",1773,1 
"01003","0114.19","Baldwin AL",5154,1 
"01003","0115.01","Baldwin AL",7216,1 
"01003","0115.03","Baldwin AL",7482,1 
"01003","0115.04","Baldwin AL",6431,1 
"01003","0116.01","Baldwin AL",7517,1 
"01003","0116.03","Baldwin AL",3298,1 
"01003","0116.04","Baldwin AL",2853,1 
"01005","9501.00","Barbour AL",3126,1 
"01005","9502.00","Barbour AL",3363,1 
"01005","9503.00","Barbour AL",1370,1 
"01005","9504.00","Barbour AL",3998,1 
"01005","9505.00","Barbour AL",3105,1 
"01005","9506.00","Barbour AL",1858,1 
"01005","9507.00","Barbour AL",1590,1 
"01005","9508.00","Barbour AL",2175,1 
"01005","9509.00","Barbour AL",4638,1 
"01007","0100.01","Bibb AL",2634,1 
"01007","0100.05","Bibb AL",4204,1 
"01007","0100.06","Bibb AL",1728,1 
"01007","0100.07","Bibb AL",2376,1 
"01007","0100.08","Bibb AL",2770,1 
"01007","0100.09","Bibb AL",2475,1 
"01007","0100.10","Bibb AL",2853,1 
"01007","0100.11","Bibb AL",3253,1 
"01009","0501.03","Blount AL",1749,1 
"01009","0501.04","Blount AL",2036,1 
"01009","0501.05","Blount AL",5525,1 
"01009","0501.06","Blount AL",3023,1 
"01009","0501.07","Blount AL",2975,1 
"01009","0502.00","Blount AL",3879,1 
"01009","0503.01","Blount AL",2880,1 
"01009","0503.02","Blount AL",2509,1 
"01009","0504.00","Blount AL",4550,1 
"01009","0505.01","Blount AL",4272,1 
"01009","0505.02","Blount AL",3196,1 
"01009","0506.01","Blount AL",4166,1 
"01009","0506.03","Blount AL",4007,1 
"01009","0506.04","Blount AL",5323,1 
"01009","0507.01","Blount AL",5834,1 
"01009","0507.02","Blount AL",3210,1 
"01011","9521.00","Bullock AL",1272,1 
"01011","9522.01","Bullock AL",2423,1 
"01011","9522.02","Bullock AL",4341,1 
"01011","9525.00","Bullock AL",2321,1 
"01013","9527.00","Butler AL",2515,1 
"01013","9528.00","Butler AL",1411,1 
"01013","9529.00","Butler AL",1959,1 
"01013","9530.00","Butler AL",1230,1 
"01013","9531.00","Butler AL",2526,1 
"01013","9532.00","Butler AL",3987,1 
"01013","9533.00","Butler AL",1712,1 
"01013","9534.00","Butler AL",2392,1 
"01013","9535.00","Butler AL",1319,1 
"01015","0002.00","Calhoun AL",2929,1 
"01015","0003.00","Calhoun AL",2314,1 
"01015","0004.00","Calhoun AL",2423,1 
"01015","0005.00","Calhoun AL",1097,1 
"01015","0006.00","Calhoun AL",1780,1 
"01015","0007.00","Calhoun AL",2952,1 
"01015","0008.00","Calhoun AL",1752,1 
"01015","0009.00","Calhoun AL",3417,1 
"01015","0010.00","Calhoun AL",5718,1 
"01015","0011.01","Calhoun AL",1772,1 
"01015","0011.02","Calhoun AL",1442,1 
"01015","0011.03","Calhoun AL",3663,1 
"01015","0012.01","Calhoun AL",3361,1 
"01015","0012.02","Calhoun AL",4304,1 
"01015","0013.00","Calhoun AL",2006,1 
"01015","0014.00","Calhoun AL",3160,1 
"01015","0015.01","Calhoun AL",3421,1 
"01015","0015.02","Calhoun AL",1724,1 
"01015","0016.00","Calhoun AL",3513,1 
"01015","0017.00","Calhoun AL",6023,1 
"01015","0018.01","Calhoun AL",2440,1 
"01015","0018.02","Calhoun AL",4371,1 
"01015","0020.01","Calhoun AL",2739,1 
"01015","0020.02","Calhoun AL",4763,1 
"01015","0021.01","Calhoun AL",5300,1 
"01015","0021.02","Calhoun AL",3243,1 
"01015","0021.04","Calhoun AL",3914,1 
"01015","0021.05","Calhoun AL",2887,1 
"01015","0022.00","Calhoun AL",3625,1 
"01015","0023.00","Calhoun AL",3717,1 
"01015","0024.00","Calhoun AL",4402,1 
"01015","0025.02","Calhoun AL",4553,1 
"01015","0025.03","Calhoun AL",3861,1 
"01015","0025.04","Calhoun AL",3181,1 
"01015","0026.00","Calhoun AL",4664,1 
"01015","9819.01","Calhoun AL",8,1 
"01015","9819.02","Calhoun AL",2,1 
"01017","9538.00","Chambers AL",3156,1 
"01017","9539.00","Chambers AL",3292,1 
"01017","9540.01","Chambers AL",2230,1 
"01017","9540.02","Chambers AL",3908,1 
"01017","9542.00","Chambers AL",3309,1 
"01017","9543.00","Chambers AL",5637,1 
"01017","9546.00","Chambers AL",3844,1 
"01017","9547.00","Chambers AL",4489,1 
"01017","9548.00","Chambers AL",4907,1 
"01019","9557.01","Cherokee AL",3365,1 
"01019","9557.02","Cherokee AL",3702,1 
"01019","9558.01","Cherokee AL",2084,1 
"01019","9558.02","Cherokee AL",3087,1 
"01019","9559.00","Cherokee AL",4171,1 
"01019","9560.00","Cherokee AL",4053,1 
"01019","9561.01","Cherokee AL",1931,1 
"01019","9561.02","Cherokee AL",2578,1 
"01021","0601.01","Chilton AL",5136,1 
"01021","0601.03","Chilton AL",3310,1 
"01021","0601.04","Chilton AL",3348,1 
"01021","0602.00","Chilton AL",2751,1 
"01021","0603.00","Chilton AL",3910,1 
"01021","0604.01","Chilton AL",5749,1 
"01021","0604.03","Chilton AL",3818,1 
"01021","0604.04","Chilton AL",5517,1 
"01021","0605.00","Chilton AL",2995,1 
"01021","0606.00","Chilton AL",3294,1 
"01021","0607.01","Chilton AL",2552,1 
"01021","0607.02","Chilton AL",2634,1 
"01023","9567.00","Choctaw AL",2783,1 
"01023","9568.00","Choctaw AL",4175,1 
"01023","9569.00","Choctaw AL",3628,1 
"01023","9570.00","Choctaw AL",2079,1 
"01025","9575.00","Clarke AL",1531,1 
"01025","9576.01","Clarke AL",934,1 
"01025","9576.03","Clarke AL",2111,1 
"01025","9576.04","Clarke AL",2688,1 
"01025","9577.00","Clarke AL",1087,1 
"01025","9578.00","Clarke AL",4865,1 
"01025","9579.01","Clarke AL",3274,1 
"01025","9579.02","Clarke AL",3794,1 
"01025","9580.03","Clarke AL",2803,1 
"01027","9589.00","Clay AL",5629,1 
"01027","9590.00","Clay AL",3205,1 
"01027","9591.00","Clay AL",2940,1 
"01027","9592.00","Clay AL",2462,1 
"01029","9595.00","Cleburne AL",2547,1 
"01029","9596.00","Cleburne AL",4206,1 
"01029","9597.00","Cleburne AL",3523,1 
"01029","9598.00","Cleburne AL",4780,1 
"01031","0101.00","Coffee AL",2143,1 
"01031","0102.00","Coffee AL",1853,1 
"01031","0103.00","Coffee AL",5151,1 
"01031","0104.00","Coffee AL",1914,1 
"01031","0105.00","Coffee AL",4412,1 
"01031","0106.00","Coffee AL",1522,1 
"01031","0107.00","Coffee AL",2200,1 
"01031","0108.00","Coffee AL",3196,1 
"01031","0109.00","Coffee AL",2159,1 
"01031","0110.00","Coffee AL",3748,1 
"01031","0111.00","Coffee AL",2077,1 
"01031","0112.03","Coffee AL",5259,1 
"01031","0112.04","Coffee AL",4116,1 
"01031","0112.05","Coffee AL",4206,1 
"01031","0112.06","Coffee AL",4877,1 
"01031","0113.00","Coffee AL",4632,1 
"01033","0201.00","Colbert AL",3599,1 
"01033","0202.00","Colbert AL",1883,1 
"01033","0203.00","Colbert AL",2273,1 
"01033","0204.00","Colbert AL",1504,1 
"01033","0205.00","Colbert AL",5150,1 
"01033","0206.00","Colbert AL",4769,1 
"01033","0207.03","Colbert AL",6796,1 
"01033","0207.04","Colbert AL",4727,1 
"01033","0207.05","Colbert AL",1388,1 
"01033","0207.06","Colbert AL",5857,1 
"01033","0208.01","Colbert AL",4182,1 
"01033","0208.02","Colbert AL",3422,1 
"01033","0209.01","Colbert AL",4287,1 
"01033","0209.02","Colbert AL",3712,1 
"01033","0210.00","Colbert AL",3678,1 
"01035","9602.00","Conecuh AL",1472,1 
"01035","9603.00","Conecuh AL",1579,1 
"01035","9604.00","Conecuh AL",2936,1 
"01035","9605.00","Conecuh AL",1591,1 
"01035","9606.00","Conecuh AL",4019,1 
"01037","9610.00","Coosa AL",3697,1 
"01037","9611.00","Coosa AL",3625,1 
"01037","9612.00","Coosa AL",3065,1 
"01039","9616.00","Covington AL",4467,1 
"01039","9617.00","Covington AL",3749,1 
"01039","9618.00","Covington AL",3114,1 
"01039","9619.00","Covington AL",2192,1 
"01039","9620.00","Covington AL",3911,1 
"01039","9621.00","Covington AL",1798,1 
"01039","9623.00","Covington AL",3315,1 
"01039","9624.00","Covington AL",3440,1 
"01039","9625.00","Covington AL",1550,1 
"01039","9626.00","Covington AL",1373,1 
"01039","9627.00","Covington AL",1690,1 
"01039","9628.00","Covington AL",1693,1 
"01039","9629.00","Covington AL",1830,1 
"01039","9630.00","Covington AL",3448,1 
"01041","9634.00","Crenshaw AL",1850,1 
"01041","9635.00","Crenshaw AL",1962,1 
"01041","9636.00","Crenshaw AL",2829,1 
"01041","9637.00","Crenshaw AL",3621,1 
"01041","9638.00","Crenshaw AL",1561,1 
"01041","9639.00","Crenshaw AL",1371,1 
"01043","9641.00","Cullman AL",5974,1 
"01043","9642.01","Cullman AL",3663,1 
"01043","9642.02","Cullman AL",4140,1 
"01043","9643.00","Cullman AL",5372,1 
"01043","9644.00","Cullman AL",4562,1 
"01043","9645.00","Cullman AL",4629,1 
"01043","9646.00","Cullman AL",4046,1 
"01043","9647.00","Cullman AL",5369,1 
"01043","9648.00","Cullman AL",4638,1 
"01043","9649.01","Cullman AL",3371,1 
"01043","9649.02","Cullman AL",4064,1 
"01043","9650.01","Cullman AL",2652,1 
"01043","9650.02","Cullman AL",4751,1 
"01043","9651.00","Cullman AL",4255,1 
"01043","9652.00","Cullman AL",2395,1 
"01043","9653.00","Cullman AL",4944,1 
"01043","9654.01","Cullman AL",3171,1 
"01043","9654.02","Cullman AL",4556,1 
"01043","9655.01","Cullman AL",1484,1 
"01043","9655.02","Cullman AL",4423,1 
"01043","9656.00","Cullman AL",2455,1 
"01043","9657.00","Cullman AL",2952,1 
"01045","0200.00","Dale AL",4474,1 
"01045","0201.00","Dale AL",3911,1 
"01045","0202.00","Dale AL",2186,1 
"01045","0203.00","Dale AL",2375,1 
"01045","0204.00","Dale AL",2423,1 
"01045","0205.00","Dale AL",1934,1 
"01045","0207.00","Dale AL",3358,1 
"01045","0208.01","Dale AL",3163,1 
"01045","0208.02","Dale AL",4328,1 
"01045","0211.01","Dale AL",4770,1 
"01045","0211.02","Dale AL",4153,1 
"01045","0212.00","Dale AL",2391,1 
"01045","0213.00","Dale AL",4231,1 
"01045","0214.00","Dale AL",5629,1 
"01047","9561.01","Dallas AL",3889,1 
"01047","9561.02","Dallas AL",2639,1 
"01047","9562.01","Dallas AL",2103,1 
"01047","9562.02","Dallas AL",2251,1 
"01047","9563.00","Dallas AL",3616,1 
"01047","9564.00","Dallas AL",2645,1 
"01047","9565.00","Dallas AL",2883,1 
"01047","9566.00","Dallas AL",2787,1 
"01047","9567.01","Dallas AL",1899,1 
"01047","9567.02","Dallas AL",1471,1 
"01047","9568.00","Dallas AL",2709,1 
"01047","9569.00","Dallas AL",2303,1 
"01047","9570.00","Dallas AL",1080,1 
"01047","9571.00","Dallas AL",1157,1 
"01047","9572.00","Dallas AL",1592,1 
"01047","9573.01","Dallas AL",2284,1 
"01047","9573.02","Dallas AL",1154,1 
"01049","9601.01","DeKalb AL",1847,1 
"01049","9601.02","DeKalb AL",3709,1 
"01049","9602.00","DeKalb AL",3518,1 
"01049","9603.01","DeKalb AL",956,1 
"01049","9603.02","DeKalb AL",1343,1 
"01049","9603.03","DeKalb AL",4567,1 
"01049","9604.01","DeKalb AL",1289,1 
"01049","9604.02","DeKalb AL",5587,1 
"01049","9605.00","DeKalb AL",5125,1 
"01049","9606.01","DeKalb AL",1547,1 
"01049","9606.02","DeKalb AL",4855,1 
"01049","9607.01","DeKalb AL",2320,1 
"01049","9607.02","DeKalb AL",1294,1 
"01049","9607.03","DeKalb AL",5153,1 
"01049","9608.00","DeKalb AL",4595,1 
"01049","9609.00","DeKalb AL",3995,1 
"01049","9610.00","DeKalb AL",3950,1 
"01049","9611.00","DeKalb AL",3336,1 
"01049","9612.00","DeKalb AL",2425,1 
"01049","9613.00","DeKalb AL",5981,1 
"01049","9614.00","DeKalb AL",4216,1 
"01051","0301.01","Elmore AL",3711,1 
"01051","0301.02","Elmore AL",2353,1 
"01051","0301.03","Elmore AL",5534,1 
"01051","0302.00","Elmore AL",4970,1 
"01051","0303.00","Elmore AL",2766,1 
"01051","0304.01","Elmore AL",3332,1 
"01051","0304.02","Elmore AL",4757,1 
"01051","0305.00","Elmore AL",5272,1 
"01051","0306.00","Elmore AL",7432,1 
"01051","0307.01","Elmore AL",8391,1 
"01051","0307.02","Elmore AL",4073,1 
"01051","0308.01","Elmore AL",2255,1 
"01051","0308.02","Elmore AL",4317,1 
"01051","0309.01","Elmore AL",6862,1 
"01051","0309.02","Elmore AL",4120,1 
"01051","0310.01","Elmore AL",4017,1 
"01051","0310.02","Elmore AL",3610,1 
"01051","0311.00","Elmore AL",4267,1 
"01051","0312.00","Elmore AL",1781,1 
"01051","0313.00","Elmore AL",4157,1 
"01053","9698.01","Escambia AL",1453,1 
"01053","9698.02","Escambia AL",4099,1 
